datetime_utc_from,datetime_utc_to,value,parameter,units,coverage_pct,observed_count,expected_count,avg,min,max
2017-06-03T22:00:00Z,2017-06-04T22:00:00Z,7.89,pm10,µg/m³,100.0,24,24,7.889166666666664,3.03,16.03
2017-06-04T22:00:00Z,2017-06-05T22:00:00Z,7.03,pm10,µg/m³,100.0,24,24,7.029583333333335,2.0,11.48
2017-06-05T22:00:00Z,2017-06-06T22:00:00Z,9.53,pm10,µg/m³,100.0,24,24,9.525416666666667,2.88,27.93
2017-06-06T22:00:00Z,2017-06-07T22:00:00Z,9.93,pm10,µg/m³,100.0,24,24,9.927500000000002,4.55,17.08
2017-06-07T22:00:00Z,2017-06-08T22:00:00Z,8.18,pm10,µg/m³,100.0,24,24,8.183333333333332,0.6,16.75
2017-06-08T22:00:00Z,2017-06-09T22:00:00Z,6.68,pm10,µg/m³,100.0,24,24,6.6762500000000005,1.6,12.4
2017-06-09T22:00:00Z,2017-06-10T22:00:00Z,8.74,pm10,µg/m³,100.0,24,24,8.741249999999999,4.0,14.05
2017-06-10T22:00:00Z,2017-06-11T22:00:00Z,8.07,pm10,µg/m³,100.0,24,24,8.074166666666668,3.78,14.4
2017-06-11T22:00:00Z,2017-06-12T22:00:00Z,9.1,pm10,µg/m³,100.0,24,24,9.101666666666668,5.05,14.73
2017-06-12T22:00:00Z,2017-06-13T22:00:00Z,11.6,pm10,µg/m³,96.0,23,24,11.60391304347826,7.95,16.35
2017-06-13T22:00:00Z,2017-06-14T22:00:00Z,7.67,pm10,µg/m³,75.0,18,24,7.674444444444445,0.0,14.08
2017-06-14T22:00:00Z,2017-06-15T22:00:00Z,0.0469,pm10,µg/m³,67.0,16,24,0.046875,0.0,0.4
2017-06-15T22:00:00Z,2017-06-16T22:00:00Z,4.86,pm10,µg/m³,96.0,23,24,4.861739130434782,0.0,24.78
2017-06-16T22:00:00Z,2017-06-17T22:00:00Z,13.1,pm10,µg/m³,100.0,24,24,13.142083333333334,6.28,21.08
2017-06-17T22:00:00Z,2017-06-18T22:00:00Z,12.6,pm10,µg/m³,100.0,24,24,12.64125,6.58,19.23
2017-06-18T22:00:00Z,2017-06-19T22:00:00Z,12.0,pm10,µg/m³,100.0,24,24,12.03291666666667,8.18,15.33
2017-06-19T22:00:00Z,2017-06-20T22:00:00Z,16.8,pm10,µg/m³,100.0,24,24,16.835416666666667,9.7,24.43
2017-06-20T22:00:00Z,2017-06-21T22:00:00Z,19.1,pm10,µg/m³,100.0,24,24,19.075000000000003,15.43,25.05
2017-06-21T22:00:00Z,2017-06-22T22:00:00Z,20.0,pm10,µg/m³,8.0,2,24,19.965,16.33,23.6
2017-06-22T22:00:00Z,2017-06-23T22:00:00Z,20.6,pm10,µg/m³,92.0,22,24,20.571818181818184,14.85,32.63
2017-06-23T22:00:00Z,2017-06-24T22:00:00Z,9.47,pm10,µg/m³,88.0,21,24,9.471428571428573,6.78,13.58
2017-06-24T22:00:00Z,2017-06-25T22:00:00Z,6.32,pm10,µg/m³,42.0,10,24,6.319000000000001,3.13,10.0
2017-06-25T22:00:00Z,2017-06-26T22:00:00Z,6.46,pm10,µg/m³,88.0,21,24,6.455714285714286,2.33,10.25
2017-06-26T22:00:00Z,2017-06-27T22:00:00Z,8.81,pm10,µg/m³,83.0,20,24,8.806,2.88,15.48
2017-06-27T22:00:00Z,2017-06-28T22:00:00Z,5.34,pm10,µg/m³,67.0,16,24,5.339999999999999,1.5,10.98
2017-06-28T22:00:00Z,2017-06-29T22:00:00Z,4.64,pm10,µg/m³,100.0,24,24,4.640833333333334,0.03,11.48
